ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZNOCLC2,ntmwtpja,,,Clifton Centre Tram Stop,,,,Clifton Leisure Centre,,Southchurch Drive,,,,NET SW-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455459,334347,-1.176910125,52.90370843,PLT,,,,,,147,2014-11-06T09:42:00,2014-11-06T14:00:00,1,rev,act
9400ZZNOCLS,,,,Clifton South Tram Stop,,,,Clifton Park and Ride,,N/A,,,,,,,E0040127,Clifton,Nottingham,,Clifton,,Clifton,,0,U,454406,333550,-1.192696972,52.89665205,MET,,,,,,147,2015-09-03T11:51:00,2015-09-03T12:30:00,2,rev,act
9400ZZNOMRB1,ntmatwmd,,,Moor Bridge Tram Stop,,,,Hucknall Lane,,Hucknall Lane,,,,NET36,,,N0077398,Moor Bridge,Nottingham,,Nottingham,,Moor Bridge,,1,U,454637,346660,-1.18705735,53.01446566,PLT,,,,,,147,2006-04-13T00:00:00,2009-09-16T10:01:00,3,rev,act
9400ZZNOMRB2,ntmatwmg,,,Moor Bridge Tram Stop,,,,Hucknall Lane,,Hucknall Lane,,,,NET37,,,N0077398,Moor Bridge,Nottingham,,Nottingham,,Moor Bridge,,1,U,454642,346660,-1.186982831,53.01446515,PLT,,,,,,147,2006-04-13T00:00:00,2009-09-16T10:02:00,4,rev,act
9400ZZNONGT,,,,NG2 Tram Stop,,,,NG2 Business Park,,Enterprise Way,,,,,,,N0060172,Lenton Lane Industrial Estate,Nottingham,,Nottingham,,,,0,U,456196,338598,-1.165219671,52.94184142,MET,,,,,,147,2014-11-06T10:45:00,2014-11-06T14:16:00,1,rev,act
9400ZZNONGT1,ntmwtpdg,,,NG2 Tram Stop,,,,NG2 Business Park,,Enterprise Way,,,,NET E-bound,,,N0060172,Lenton Lane Industrial Estate,Nottingham,,Nottingham,,,,0,U,456196,338602,-1.16521898,52.94187737,PLT,,,,,,147,2014-11-06T10:47:00,2014-11-06T14:16:00,1,rev,act
9400ZZNOWFV,,,,Wilford Village Tram Stop,,,,Wilford Toll Bridge,,Main Road,,,,,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456845,337925,-1.15568106,52.93572411,MET,,,,,,147,2014-11-06T13:25:00,2014-11-06T14:35:00,1,rev,act
9400ZZNOWFV1,ntmwtmtd,,,Wilford Village Tram Stop,,,,Wilford Toll Bridge,,Main Road,,,,NET NE-bound,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456843,337926,-1.155710638,52.93573331,PLT,,,,,,147,2014-11-06T13:28:00,2014-11-06T14:35:00,1,rev,act
9400ZZNOWFV2,ntmwtmta,,,Wilford Village Tram Stop,,,,Wilford Toll Bridge,,Main Road,,,,NET SW-bound,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456847,337923,-1.155651656,52.93570592,PLT,,,,,,147,2014-11-06T13:37:00,2014-11-06T14:35:00,1,rev,act
9400ZZNOWKS,,,,Wilkinson Street Tram Stop,,,,Wilkinson Street,,Wilkinson Street,,,,,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455295,341940,-1.178056294,52.97197372,MET,,,,,,147,2006-04-13T00:00:00,2013-07-26T08:56:00,2,rev,act
9400ZZNOWKS1,ntmatwdt,,,Wilkinson Street Tram Stop,,,,Wilkinson Street,,Wilkinson Street,,,,NET19,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455298,341921,-1.178014866,52.97180263,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:05:00,3,rev,act
9400ZZNOWKS2,ntmatwdw,,,Wilkinson Street Tram Stop,,,,Wilkinson Street,,Wilkinson Street,,,,NET20,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455305,341933,-1.177908596,52.97190977,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:05:00,3,rev,act
9400ZZNOUNI,,,,University of Nottingham Tram Stop,,,,University Boulevard,,University Boulevard,,,,,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,454649,338068,-1.188326437,52.937237,MET,,,,,,147,2014-11-06T13:17:00,2014-11-06T14:33:00,1,rev,act
9400ZZNOBCF,,,,Beaconsfield Street Tram Stop,,,,Beaconsfield Street,,Noel Street,,,,,,,E0040129,Forest Fields,Nottingham,,Nottingham,,Forest Fields,,0,U,455785,341752,-1.170792924,52.97023327,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:24:00,2,rev,act
9400ZZNOBCF1,ntmatwdg,,,Beaconsfield Street Tram Stop,,,,Beaconsfield Street,,Noel Street,,,,NET15,,,E0040129,Forest Fields,Nottingham,,Nottingham,,Forest Fields,,0,U,455812,341733,-1.170394201,52.97005969,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:03:00,5,rev,act
9400ZZNOBCF2,,,,Beaconsfield Street Tram Stop,,,,Noel Street,,Beaconsfield Street,,,,Platform 2,,,E0040133,Hyson Green,Nottingham,,,,,,1,U,455785,341751,-1.170793096,52.97022428,PLT,,,,,,147,2004-10-24T00:00:00,2009-03-18T16:28:00,1,rev,del
9400ZZNOMDW2,ntmwtpdj,,,Meadows Way West Tram Stop,,,,Meadows Way,,Meadows Way,,,,NET W-bound,,,E0040140,Meadows,Nottingham,,Nottingham,,,,0,U,456768,338772,-1.156678601,52.94334531,PLT,,,,,,147,2014-11-06T10:44:00,2014-11-06T14:14:00,1,rev,act
9400ZZNONTU2,ntmatwaj,,,NTU Tram Stop,,,,Nottingham Trent University,,Goldsmith Street,,,,NET09,,,N0077199,Nottingham Trent University in City Centre,Nottingham,,Nottingham,,Nottingham Trent University,,0,U,456865,340394,-1.154951286,52.95791403,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:13:00,4,rev,act
9400ZZNOBFD,,,,Basford Tram Stop,,,,Vernon Road,,Vernon Road,,,,,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455248,343018,-1.178572416,52.98166791,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:29:00,1,rev,act
9400ZZNOBFD1,ntmatwga,,,Basford Tram Stop,,,,Vernon Road,,Vernon Road,,,,NET21,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455259,343013,-1.17840945,52.98162184,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:05:00,3,rev,act
9400ZZNOCLS1,ntmwtmgj,,,Clifton South Tram Stop,,,,Clifton Park and Ride,,N/A,,,,NET NE-bound,,,E0040127,Clifton,Nottingham,,Clifton,,Clifton,,0,U,454405,333552,-1.192711502,52.89667013,PLT,,,,,,147,2015-09-03T11:54:00,2015-09-03T12:30:00,1,rev,act
9400ZZNOCLS2,ntmwtmgd,,,Clifton South Tram Stop,,,,Clifton Park and Ride,,N/A,,,,NET NE-bound,,,E0040127,Clifton,Nottingham,,Clifton,,Clifton,,0,U,454407,333549,-1.192682276,52.89664296,PLT,,,,,,147,2015-09-03T11:56:00,2015-09-03T12:30:00,1,rev,act
9400ZZNOCOM,,,,Compton Acres Tram Stop,,,,Ruddington Lane Rec.,,N/A,,,,,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456744,336071,-1.157507114,52.91907046,MET,,,,,,147,2014-11-06T09:53:00,2014-11-06T14:04:00,1,rev,act
9400ZZNOCOM1,ntmwtpgp,,,Compton Acres Tram Stop,,,,Ruddington Lane Rec.,,N/A,,,,NET S-bound,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456748,336071,-1.15744763,52.91907004,PLT,,,,,,147,2014-11-06T10:05:00,2014-11-06T14:04:00,1,rev,act
9400ZZNOCOM2,ntmwtpgm,,,Compton Acres Tram Stop,,,,Ruddington Lane Rec.,,N/A,,,,NET N-bound,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456741,336071,-1.157551727,52.91907077,PLT,,,,,,147,2014-11-06T10:09:00,2014-11-06T14:04:00,1,rev,act
9400ZZNOMRB,,,,Moor Bridge Tram Stop,,,,Hucknall Lane,,Hucknall Lane,,,,,,,N0077398,Moor Bridge,Nottingham,,Nottingham,,Moor Bridge,,1,U,454641,346660,-1.186997735,53.01446526,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:44:00,1,rev,act
9400ZZNOBFD2,ntmatwgd,,,Basford Tram Stop,,,,Vernon Road,,Vernon Road,,,,NET22,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,0,U,455267,343016,-1.178289798,52.98164798,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:14:00,3,rev,act
9400ZZNOBLV,,,,University Boulevard Tram Stop,,,,University Boulevard,,University Boulevard,,,,,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,453725,337497,-1.202167489,52.93219769,MET,,,,,,147,2014-11-06T12:22:00,2014-11-06T14:31:00,1,rev,act
9400ZZNOBLV1,ntmwtmtw,,,University Boulevard Tram Stop,,,,University Boulevard,,University Boulevard,,,,NET E-bound,,,N0077200,Nottingham University Main Campus,Nottingham,,Nottingham University Main Campus,,,,0,U,453725,337501,-1.202166828,52.93223364,PLT,,,,,,147,2014-11-06T13:13:00,2014-11-06T14:31:00,1,rev,act
9400ZZNOHSC1,ntmatwam,,,High School Tram Stop,,,,High School,,Waverley Street,,,,NET10,,,E0040114,Arboretum,Nottingham,,Nottingham,,Arboretum,,1,U,456414,340881,-1.161579466,52.96233883,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:00:00,3,rev,act
9400ZZNOHSC2,ntmatwap,,,High School Tram Stop,,,,High School,,Waverley Street,,,,NET11,,,E0040114,Arboretum,Nottingham,,Nottingham,,Arboretum,,1,U,456422,340889,-1.161458989,52.9624099,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:01:00,3,rev,act
9400ZZNOHOL,,,,Holy Trinity Tram Stop,,,,Holy Trinity Church,,Southchurch Drive,,,,,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455175,333599,-1.181258716,52.89701427,MET,,,,,,147,2014-11-06T10:28:00,2014-11-06T14:09:00,1,rev,act
9400ZZNOHOL1,ntmwtpga,,,Holy Trinity Tram Stop,,,,Holy Trinity Church,,Southchurch Drive,,,,NET NE-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455173,333602,-1.181287935,52.89704144,PLT,,,,,,147,2014-11-06T10:29:00,2014-11-06T14:09:00,1,rev,act
9400ZZNOHOL2,ntmwtpdw,,,Holy Trinity Tram Stop,,,,Holy Trinity Church,,Southchurch Drive,,,,NET SW-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455177,333597,-1.181229327,52.89699609,PLT,,,,,,147,2014-11-06T10:32:00,2014-11-06T14:09:00,1,rev,act
9400ZZNOHSC,,,,High School Tram Stop,,,,High School,,Waverley Street,,,,,,,E0040114,Arboretum,Nottingham,,Nottingham,,Arboretum,,1,U,456395,340911,-1.161857084,52.96261047,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:41:00,1,rev,act
9400ZZNOSCD1,ntmwtmwj,,,Southchurch Drive North Tram Stop,,,,St. Francis Church,,Southchurch Drive,,,,NET NE-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455885,335136,-1.17044188,52.91075622,PLT,,,,,,147,2014-11-06T12:12:00,2014-11-06T14:29:00,1,rev,act
9400ZZNOSCD2,ntmwtmwg,,,Southchurch Drive North Tram Stop,,,,St. Francis Church,,Southchurch Drive,,,,NET SW-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455889,335130,-1.170383437,52.91070187,PLT,,,,,,147,2014-11-06T12:14:00,2014-11-06T14:29:00,1,rev,act
9400ZZNOSHN,,,,Shipstone Street Tram Stop,,,,Shipstone Street,,Shipstone Street,,,,,,,E0040146,Radford,Nottingham,,Nottingham,,Radford,,0,U,455604,341896,-1.173463075,52.97154634,MET,,,,,,147,2006-04-13T00:00:00,2012-01-30T13:11:00,2,rev,act
9400ZZNOSHN1,ntmatwdj,,,Shipstone Street Tram Stop,,,,Shipstone Street,,Shipstone Street,,,,NET16,,,E0040146,Radford,Nottingham,,Nottingham,,Radford,,0,U,455603,341895,-1.173478135,52.97153746,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:03:00,5,rev,act
9400ZZNOSHN2,,,,Shipstone Street Tram Stop,,,,Fisher Street,,Shipstone Street,,,,Platform 2,,,E0040146,Radford,Nottingham,,,,,,0,U,455603,341894,-1.173478307,52.97152847,PLT,,,,,,147,2004-10-24T00:00:00,2010-03-25T13:23:00,3,rev,del
