ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZNORDF2,,,,Radford Road Tram Stop,,,,Beaconsfield Street,,Radford Road,,,,Platform 2,,,E0040129,Forest Fields,Nottingham,,,,,,0,U,455593,341674,-1.173664902,52.96955208,PLT,,,,,,147,2004-10-24T00:00:00,2010-03-25T13:24:00,3,rev,del
9400ZZNORIV,,,,Rivergreen Tram Stop,,,,Rivergreen,,Southchurch Drive,,,,,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455599,334701,-1.174768472,52.90687588,MET,,,,,,147,2014-11-06T11:46:00,2014-11-06T14:22:00,1,rev,act
9400ZZNORIV1,ntmwtpad,,,Rivergreen Tram Stop,,,,Rivergreen,,Southchurch Drive,,,,NET N-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455596,334703,-1.174812731,52.90689417,PLT,,,,,,147,2014-11-06T11:57:00,2014-11-06T14:22:00,1,rev,act
9400ZZNORIV2,ntmwtmwt,,,Rivergreen Tram Stop,,,,Rivergreen,,Southchurch Drive,,,,NET S-bound,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455603,334700,-1.174709175,52.90686648,PLT,,,,,,147,2014-11-06T11:59:00,2014-11-06T14:22:00,1,rev,act
9400ZZNORUD,,,,Ruddington Lane Tram Stop,,,,Ruddington Lane,,Ruddington Lane,,,,,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456695,335582,-1.158320992,52.91468033,MET,,,,,,147,2014-11-06T12:01:00,2014-11-06T14:26:00,1,rev,act
9400ZZNORUD1,ntmwtmwp,,,Ruddington Lane Tram Stop,,,,Ruddington Lane,,Ruddington Lane,,,,NET N-bound,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456692,335582,-1.158365601,52.91468065,PLT,,,,,,147,2014-11-06T12:07:00,2014-11-06T14:26:00,1,rev,act
9400ZZNORUD2,ntmwtpgw,,,Ruddington Lane Tram Stop,,,,Ruddington Lane,,Ruddington Lane,,,,NET S-bound,,,N0061145,Compton Acres,West Bridgford,,Nottingham,,,,0,U,456698,335582,-1.158276384,52.91468002,PLT,,,,,,147,2014-11-06T12:09:00,2014-11-06T14:26:00,1,rev,act
9400ZZNOSCD,,,,Southchurch Drive North Tram Stop,,,,St. Francis Church,,Southchurch Drive,,,,,,,E0040127,Clifton,Nottingham,,Nottingham,,,,0,U,455887,335133,-1.170412659,52.91072904,MET,,,,,,147,2014-11-06T12:11:00,2014-11-06T14:29:00,1,rev,act
9400ZZNOWFL,,,,Wilford Lane Tram Stop,,,,Becket School,,Wilford Lane,,,,,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456825,336833,-1.15616945,52.925911,MET,,,,,,147,2014-11-06T13:22:00,2014-11-06T14:34:00,1,rev,act
9400ZZNOWFL1,ntmwtmtg,,,Wilford Lane Tram Stop,,,,Becket School,,Wilford Lane,,,,NET N-bound,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456822,336833,-1.15621407,52.92591132,PLT,,,,,,147,2014-11-06T13:23:00,2014-11-06T14:34:00,1,rev,act
9400ZZNOWFL2,ntmwtpgt,,,Wilford Lane Tram Stop,,,,Becket School,,Wilford Lane,,,,NET S-bound,,,E0040155,Wilford,Nottingham,,Nottingham,,,,0,U,456829,336832,-1.156110132,52.92590159,PLT,,,,,,147,2014-11-06T13:24:00,2014-11-06T14:34:00,1,rev,act
9400ZZNOHGM2,,,,Hyson Green Market Tram Stop,,,,ASDA,,Radford Road,,,,Platform 2,,,E0040133,Hyson Green,Nottingham,,,,,,1,U,455750,341249,-1.171400461,52.9657158,PLT,,,,,,147,2004-10-24T00:00:00,2009-03-18T16:39:00,2,rev,del
9400ZZNONTU,,,,NTU Tram Stop,,,,Nottingham Trent University,,Goldsmith Street,,,,,,,N0077199,Nottingham Trent University in City Centre,Nottingham,,Nottingham,,Nottingham Trent University,,0,U,456818,340431,-1.155644372,52.95825156,MET,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:12:00,2,rev,act
